"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 01 11:12:43 WAT 2023","Fri Dec 01 11:12:45 WAT 2023","2385","Contact management","Contacts","","","","Get all the contacts",""
"passed","Fri Dec 01 11:22:41 WAT 2023","Fri Dec 01 11:22:43 WAT 2023","2415","Contact management","Lists","","","","Get a list's details",""
"failed","Fri Dec 01 11:13:17 WAT 2023","Fri Dec 01 11:13:19 WAT 2023","2310","Contact management","Lists","","","","Get contacts in a list",""
"passed","Fri Dec 01 11:13:38 WAT 2023","Fri Dec 01 11:13:41 WAT 2023","2506","Contact management","Folders","","","","Returns a folder's details",""
"passed","Fri Dec 01 11:23:58 WAT 2023","Fri Dec 01 11:24:00 WAT 2023","2279","Accounts and settings","Reseller","Child accounts","","","Get session token to access Sendinblue (SSO)",""
"passed","Fri Dec 01 11:13:58 WAT 2023","Fri Dec 01 11:14:00 WAT 2023","2450","Contact management","Attributes","","","","Delete an attribute",""
"passed","Fri Dec 01 11:13:02 WAT 2023","Fri Dec 01 11:13:05 WAT 2023","2470","Contact management","Contacts","","","","Get a contact's details",""
"passed","Fri Dec 01 11:27:33 WAT 2023","Fri Dec 01 11:27:35 WAT 2023","2355","Coupons","","","","","Create coupons for a coupon collection",""
"passed","Fri Dec 01 11:09:00 WAT 2023","Fri Dec 01 11:09:06 WAT 2023","5755","Transactional","Templates","","","","Create an email template",""
"passed","Fri Dec 01 11:24:24 WAT 2023","Fri Dec 01 11:24:26 WAT 2023","2266","Accounts and settings","Corporate","","","","Update sub-account plan",""
"passed","Fri Dec 01 11:23:27 WAT 2023","Fri Dec 01 11:23:29 WAT 2023","2419","Accounts and settings","Reseller","Credits","","","Add Email and/or SMS credits to a specific child account",""
"passed","Fri Dec 01 11:16:41 WAT 2023","Fri Dec 01 11:16:44 WAT 2023","3266","Sales CRM","Tasks","","","","Get all task types",""
"passed","Fri Dec 01 11:26:15 WAT 2023","Fri Dec 01 11:26:17 WAT 2023","2457","Sales CRM","Notes","","","","Get a note",""
"passed","Fri Dec 01 11:11:41 WAT 2023","Fri Dec 01 11:11:43 WAT 2023","2334","Marketing","Email Campaigns","","","","Update an email campaign status",""
"passed","Fri Dec 01 11:23:00 WAT 2023","Fri Dec 01 11:23:03 WAT 2023","2321","Contact management","Folders","","","","Get all folders after deletion",""
"passed","Fri Dec 01 11:26:01 WAT 2023","Fri Dec 01 11:26:04 WAT 2023","2814","Sales CRM","Tasks","","","","Get a task",""
"passed","Fri Dec 01 11:27:09 WAT 2023","Fri Dec 01 11:27:12 WAT 2023","2302","eCommerce","Categories","","","","Get a category details",""
"passed","Fri Dec 01 11:10:19 WAT 2023","Fri Dec 01 11:10:24 WAT 2023","5341","Transactional","Logs","","","","Delete hardbounces",""
"passed","Fri Dec 01 11:21:54 WAT 2023","Fri Dec 01 11:21:56 WAT 2023","2325","Marketing","WhatsApp Campaigns","","","","Get your WhatsApp API account information",""
"passed","Fri Dec 01 11:12:24 WAT 2023","Fri Dec 01 11:12:27 WAT 2023","2586","Marketing","WhatsApp Campaigns","","","","Delete a WhatsApp campaign",""
"passed","Fri Dec 01 11:25:25 WAT 2023","Fri Dec 01 11:25:27 WAT 2023","2334","Sales CRM","Companies","","","","Delete a company",""
"passed","Fri Dec 01 11:19:36 WAT 2023","Fri Dec 01 11:19:41 WAT 2023","5458","Transactional","Logs","","","","Send a scheduled transactional email",""
"passed","Fri Dec 01 11:23:25 WAT 2023","Fri Dec 01 11:23:27 WAT 2023","2457","Accounts and settings","Webhooks","","","","Delete a webhook",""
"passed","Fri Dec 01 11:13:51 WAT 2023","Fri Dec 01 11:13:53 WAT 2023","2308","Contact management","Attributes","","","","List all attributes",""
"passed","Fri Dec 01 11:15:31 WAT 2023","Fri Dec 01 11:15:33 WAT 2023","2534","Accounts and settings","Domains","","","","Create a new domain",""
"passed","Fri Dec 01 11:21:35 WAT 2023","Fri Dec 01 11:21:37 WAT 2023","2340","Marketing","WhatsApp Campaigns","","","","Get a WhatsApp campaign",""
"passed","Fri Dec 01 11:15:41 WAT 2023","Fri Dec 01 11:15:43 WAT 2023","2426","Accounts and settings","User","","","","Get the list of all your users",""
"passed","Fri Dec 01 11:21:32 WAT 2023","Fri Dec 01 11:21:35 WAT 2023","2536","Marketing","SMS Campaigns","","","","Send an SMS campaign's report",""
"passed","Fri Dec 01 11:15:43 WAT 2023","Fri Dec 01 11:15:46 WAT 2023","2425","Accounts and settings","User","","","","Check user permission",""
"passed","Fri Dec 01 11:14:57 WAT 2023","Fri Dec 01 11:14:59 WAT 2023","2403","Accounts and settings","Corporate","","","","Get the list of all the sub-accounts of the master account.",""
"passed","Fri Dec 01 11:16:28 WAT 2023","Fri Dec 01 11:16:30 WAT 2023","2477","Sales CRM","Deals","","","","Get a deal",""
"passed","Fri Dec 01 11:26:32 WAT 2023","Fri Dec 01 11:26:35 WAT 2023","2337","Sales CRM","Files","","","","Get file details",""
"passed","Fri Dec 01 11:25:00 WAT 2023","Fri Dec 01 11:25:02 WAT 2023","2318","Accounts and settings","User","","","","Check user permission",""
"passed","Fri Dec 01 11:15:16 WAT 2023","Fri Dec 01 11:15:19 WAT 2023","2695","Accounts and settings","Senders","","","","Create a new sender",""
"passed","Fri Dec 01 11:15:28 WAT 2023","Fri Dec 01 11:15:31 WAT 2023","2423","Accounts and settings","Domains","","","","Get the list of all your domains",""
