"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 01 11:12:53 WAT 2023","Fri Dec 01 11:12:55 WAT 2023","2267","Contact management","Contacts","","","","Update multiple contacts",""
"passed","Fri Dec 01 11:18:36 WAT 2023","Fri Dec 01 11:18:41 WAT 2023","5328","Transactional","Templates","","","","Delete an inactive email template",""
"passed","Fri Dec 01 11:17:03 WAT 2023","Fri Dec 01 11:17:05 WAT 2023","2301","Sales CRM","Notes","","","","Delete a note",""
"passed","Fri Dec 01 11:11:13 WAT 2023","Fri Dec 01 11:11:18 WAT 2023","5343","Transactional","WhatsApp Transactional","","","","Send a WhatsApp message",""
"passed","Fri Dec 01 11:22:24 WAT 2023","Fri Dec 01 11:22:26 WAT 2023","2449","Contact management","Lists","","","","Get all folders",""
"passed","Fri Dec 01 11:13:33 WAT 2023","Fri Dec 01 11:13:36 WAT 2023","2364","Contact management","Folders","","","","Get all folders",""
"passed","Fri Dec 01 11:21:39 WAT 2023","Fri Dec 01 11:21:42 WAT 2023","2506","Marketing","WhatsApp Campaigns","","","","Return all your created WhatsApp campaigns",""
"passed","Fri Dec 01 11:25:15 WAT 2023","Fri Dec 01 11:25:17 WAT 2023","2505","Sales CRM","Companies","","","","Create a company",""
"passed","Fri Dec 01 11:17:12 WAT 2023","Fri Dec 01 11:17:15 WAT 2023","2440","Sales CRM","Files","","","","Delete a file",""
"passed","Fri Dec 01 11:23:36 WAT 2023","Fri Dec 01 11:23:39 WAT 2023","2274","Accounts and settings","Reseller","Domains","","","Get all sender domains for a specific child account",""
"passed","Fri Dec 01 11:15:02 WAT 2023","Fri Dec 01 11:15:04 WAT 2023","2317","Accounts and settings","Corporate","","","","Generate SSO token to access Sendinblue",""
"passed","Fri Dec 01 11:09:41 WAT 2023","Fri Dec 01 11:09:46 WAT 2023","5454","Transactional","Statistics","","","","Get your transactional email activity aggregated per day",""
"passed","Fri Dec 01 11:12:36 WAT 2023","Fri Dec 01 11:12:38 WAT 2023","2308","Marketing","WhatsApp Campaigns","","","","Create a WhatsApp template",""
"passed","Fri Dec 01 11:24:55 WAT 2023","Fri Dec 01 11:24:57 WAT 2023","2549","Accounts and settings","Domains","","","","Authenticate a domain",""
"passed","Fri Dec 01 11:27:21 WAT 2023","Fri Dec 01 11:27:23 WAT 2023","2307","eCommerce","","","","","Activate eCommerce platform on your account",""
"passed","Fri Dec 01 11:08:37 WAT 2023","Fri Dec 01 11:08:43 WAT 2023","5572","Transactional","Email API","","","","Get the personalized content of a sent transactional email",""
"passed","Fri Dec 01 11:15:04 WAT 2023","Fri Dec 01 11:15:06 WAT 2023","2243","Accounts and settings","Corporate","","","","Get sub-account details",""
"passed","Fri Dec 01 11:21:42 WAT 2023","Fri Dec 01 11:21:44 WAT 2023","2437","Marketing","WhatsApp Campaigns","","","","Return all your created WhatsApp templates",""
"passed","Fri Dec 01 11:21:37 WAT 2023","Fri Dec 01 11:21:39 WAT 2023","2336","Marketing","WhatsApp Campaigns","","","","Delete a WhatsApp campaign",""
"failed","Fri Dec 01 11:22:09 WAT 2023","Fri Dec 01 11:22:11 WAT 2023","2595","Contact management","Contacts","","","","Export contacts",""
"passed","Fri Dec 01 11:12:29 WAT 2023","Fri Dec 01 11:12:31 WAT 2023","2390","Marketing","WhatsApp Campaigns","","","","Return all your created WhatsApp templates",""
"passed","Fri Dec 01 11:27:26 WAT 2023","Fri Dec 01 11:27:28 WAT 2023","2356","Coupons","","","","","Create a coupon collection",""
"passed","Fri Dec 01 11:17:00 WAT 2023","Fri Dec 01 11:17:03 WAT 2023","2403","Sales CRM","Notes","","","","Update a note",""
"failed","Fri Dec 01 11:13:24 WAT 2023","Fri Dec 01 11:13:26 WAT 2023","2403","Contact management","Lists","","","","Delete a contact from a list",""
"passed","Fri Dec 01 11:16:50 WAT 2023","Fri Dec 01 11:16:53 WAT 2023","2900","Sales CRM","Tasks","","","","Update a task",""
"passed","Fri Dec 01 11:17:43 WAT 2023","Fri Dec 01 11:17:49 WAT 2023","5926","Transactional","Email API","","","","Get the list of transactional emails on the basis of allowed filters",""
"passed","Fri Dec 01 11:14:14 WAT 2023","Fri Dec 01 11:14:17 WAT 2023","2435","Accounts and settings","Reseller","Credits","","","Remove Email and/or SMS credits from a specific child account",""
"passed","Fri Dec 01 11:19:58 WAT 2023","Fri Dec 01 11:20:04 WAT 2023","5432","Transactional","Inbound Email Parsing","","","","Retrieve inbound attachment with download token.",""
"passed","Fri Dec 01 11:13:07 WAT 2023","Fri Dec 01 11:13:10 WAT 2023","2366","Contact management","Contacts","","","","Delete a contact",""
"passed","Fri Dec 01 11:12:19 WAT 2023","Fri Dec 01 11:12:22 WAT 2023","2339","Marketing","SMS Campaigns","","","","Send an SMS campaign's report",""
"passed","Fri Dec 01 11:09:52 WAT 2023","Fri Dec 01 11:09:57 WAT 2023","5374","Transactional","Blocked Contacts","","","","Get the list of blocked or unsubscribed transactional contacts",""
"passed","Fri Dec 01 11:23:05 WAT 2023","Fri Dec 01 11:23:08 WAT 2023","2385","Contact management","Attributes","","","","List all attributes",""
"passed","Fri Dec 01 11:12:07 WAT 2023","Fri Dec 01 11:12:10 WAT 2023","2360","Marketing","SMS Campaigns","","","","Delete an SMS campaign",""
"passed","Fri Dec 01 11:18:00 WAT 2023","Fri Dec 01 11:18:06 WAT 2023","5656","Transactional","Email API","","","","Fetch scheduled emails by batchId or messageId",""
"passed","Fri Dec 01 11:25:37 WAT 2023","Fri Dec 01 11:25:39 WAT 2023","2608","Sales CRM","Deals","","","","Create a deal",""
"passed","Fri Dec 01 11:16:35 WAT 2023","Fri Dec 01 11:16:38 WAT 2023","2828","Sales CRM","Tasks","","","","Get all tasks",""
"failed","Fri Dec 01 11:20:37 WAT 2023","Fri Dec 01 11:20:39 WAT 2023","2621","Marketing","Email Campaigns","","","","Create an email campaign",""
"passed","Fri Dec 01 11:26:30 WAT 2023","Fri Dec 01 11:26:32 WAT 2023","2454","Sales CRM","Files","","","","Delete a file",""
"passed","Fri Dec 01 11:18:52 WAT 2023","Fri Dec 01 11:18:58 WAT 2023","5639","Transactional","Statistics","","","","Get your transactional email activity aggregated per day",""
"passed","Fri Dec 01 11:18:18 WAT 2023","Fri Dec 01 11:18:23 WAT 2023","5434","Transactional","Templates","","","","Get the list of email templates",""
"failed","Fri Dec 01 11:13:29 WAT 2023","Fri Dec 01 11:13:31 WAT 2023","2306","Contact management","Lists","","","","Update a list",""
"passed","Fri Dec 01 11:15:26 WAT 2023","Fri Dec 01 11:15:28 WAT 2023","2420","Accounts and settings","Senders","","","","Get all the dedicated IPs for a sender",""
